Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1966,,0,0.4,,131.5,61.8,125.4,86.6,,184.6,235.7,27.8
1967,22.7,0,11.3,3.7,71.4,81.6,199.9,93,,128.5,51,30.9
1968,0,5.8,60,30,96.5,127.9,53.9,65.8,,,17.8,11.7
1969,0,0,1.6,,165.2,279.5,76.4,187.5,85.7,191.5,192.3,119.2
1970,0,14.6,1.5,17.2,,,122.2,135.6,135.7,281.7,33.4,1
1971,0,23,0.2,61.3,179.2,23.6,54.6,1063.5,241,,19.1,24.3
1972,0.2,0,,17.7,112.1,83.5,48.1,61.4,213.4,211.8,35,73.7
1973,0,0,,24,54.5,71.7,90.3,158.6,331.1,194.1,22.4,22.8
1974,0,0,0,27.9,,,,81.2,,1163,13,0
1975,0,9.8,4,1.1,74.5,99,246.3,140.2,1619,,133.3,10.7
1976,0,0,0,110,59,20.7,70.9,181.7,,67.1,159.6,1.8
1977,0,,,94.1,144.4,118.7,,,90.5,234.5,88.9,0
1978,0,26.9,1.4,,93.8,46.6,120.9,96.1,210.1,84.9,82.7,25.7
1979,0,53.9,0.8,27,77.8,1975,74.3,64.3,,161.8,105.4,0
1980,0,0,10.9,,,41.8,112.7,,213,78,51.6,0
1981,1.5,0,101.2,9.6,,16.9,,123.8,204,86.6,16.9,21.7
1982,0,,,16.1,100.2,144.1,46.9,81,206.5,697,23.9,1.2
1983,,0,0,0,106.5,218.4,64.2,178.5,275.8,53.7,2.9,69.8
1984,0.7,33.4,91.7,42.7,602,,142.8,45,243.6,144.5,10.7,10.9
1985,14,0,103.5,,73.6,377,,67.8,139.8,70.9,97.1,3
1986,18.6,16.4,0,8.4,85.4,131.7,326.5,97.5,5166,,87.9,14.7
1987,,,,57.6,,84.2,268.5,,102.7,144.4,35.1,53.6
1988,0,,29.2,357,,25.7,243.8,,424.6,,35.4,30
1989,0,0,2,6.2,88.9,47.9,,,235.5,238.6,6.6,3.5
1990,1.2,0,3.4,32.2,,57.2,36.6,,,,26.2,10.8
1991,0.3,,0,43.3,194.4,2094,,119.4,,303,180.5,0
1992,0,0,0,7.6,91,178.1,93.8,104.6,154.8,159.8,36.2,0.4
1993,0,,29.5,38.8,1009,140.3,92.9,127.6,263.5,165.5,27.3,82.7
1994,0,0.2,0,11,78.5,,,,,180.6,25.6,5.9
1995,,0,16.5,33.8,147.7,478,107.2,229.3,251.6,,13.1,0
1996,,0,0,,117.6,228,51,302.9,275.8,83.8,1.2,21.8
1997,5.4,,26.7,65.2,77,,256,,277,328.5,164.4,19.5
1998,0,0,0.1,95,110.3,60.7,257.7,387.1,235.3,215.4,49.6,20.6
1999,0,15.7,,74.9,200.6,75.7,1144,94.7,164.2,192.4,64.8,16.6
2000,,,0,76.2,,,115.9,276.7,208.8,286.2,8.9,15.1
2001,0.6,0,2.2,323.8,,,112.1,85.1,1243,155.9,35,7.6
2002,0,,0,88,183.5,,36.8,45.5,948,1739,38,9.1
2003,0,1.8,3.3,84.1,,86,,,,,27.4,2.6
2004,5.4,12,55,47.5,,75.7,2104,65.2,186.9,197.3,25.7,0
2005,1.6,4.4,13.4,75.1,,127.9,,194,173.5,446,56.5,6.3
2006,,0,62.7,126,133.9,190.5,53.6,44.2,31.5,489,48,0.3
2007,0,0.2,0,104.9,795,57.2,154,146.5,,,21.1,34.5
2008,0.1,,,30.4,87.1,,182.5,,,210.9,47.6,0.3
2009,0.1,0,76,63.9,123.8,125.4,30.2,162.2,335.3,35.2,66.8,17.5
2010,5.4,0,,97.5,123.9,67.3,,121.1,149.9,95.8,166.8,2.7
2011,,44.1,0.2,210.3,150.5,,464,278.2,111.1,850,49.9,7.2
2012,2,0,0.7,140,143.6,,,189.1,68.4,,125,26.9
2013,0,14.5,0.6,23,151,1771,139.7,94.3,352.6,100.2,143.7,0.3
2014,0,0.2,4.7,22.7,74.6,172,100.9,102.4,319,,25.7,1
2015,45,,,,,85.3,,110,,,296.4,5.1
2016,4.4,0,19.9,,140.6,191.3,209.4,82.8,33.2,11.5,1.5,74.9
2017,0.2,0,47.8,,241.9,25.1,59,3518,513.8,385.7,20.6,19.7
2018,0,1.8,47.6,34.1,702,,,70.9,106.9,,12.8,16.2
2019,0.8,58,,41.2,136.7,58.4,93.9,714,211.4,196.3,8,12.6
2020,0,0,18.4,121.1,128.6,1148,158.3,75.9,300,,71,20.4
2021,21.2,,0,118.2,130.7,91.1,203.3,98.3,942.5,,277.8,5.4
2022,3.9,0,0,614,270.2,255.5,136.7,,1765,2965,59.8,74.7
2023,0,0,,141,305.5,72.3,707.5,,1242,,106.6,0.7
2024,0,,,0,,204.7,92.8,,23.9,,,
